,ts_code,name,market,publisher,category,base_date,base_point,list_date
171,931791.CSI,大盘蓝筹25,CSI,中证指数有限公司,规模指数,20141231,1000.0,20211213
172,931791CNY01.CSI,大盘蓝筹25(全),CSI,中证指数有限公司,规模指数,20141231,1000.0,20211213
173,931840.CSI,大盘蓝筹25USD,CSI,中证指数有限公司,规模指数,20141231,1000.0,20211213
174,931840USD01.CSI,大盘蓝筹25(全)USD,CSI,中证指数有限公司,规模指数,20141231,1000.0,20211213
175,931877.CSI,科创创业50净收益,CSI,中证指数有限公司,规模指数,20191231,1000.0,20210601
176,932000.CSI,中证2000,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230811
177,932000CNY010.CSI,中证2000全收益,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230811
178,932000EUR200.CSI,中证2000EUR,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
179,932000EUR210.CSI,中证2000(全)EUR,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
180,932000GBP200.CSI,中证2000GBP,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
181,932000GBP210.CSI,中证2000(全)GBP,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
182,932000HKD200.CSI,中证2000HKD,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
183,932000HKD210.CSI,中证2000(全)HKD,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
184,932000USD200.CSI,中证2000USD,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
185,932000USD210.CSI,中证2000(全)USD,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
186,932000USD220.CSI,中证2000(净)USD,CSI,中证指数有限公司,规模指数,20131231,1000.0,20240105
187,932000USD300.CSI,中证2000USD(CNH),CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
188,932000USD310.CSI,中证2000(全)USD(CNH),CSI,中证指数有限公司,规模指数,20131231,1000.0,20230901
189,932000USD320.CSI,中证2000(净)USD(CNH),CSI,中证指数有限公司,规模指数,20131231,1000.0,20240105
190,932216.CSI,香港100净收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20231215
191,932222.CSI,中证2000净收益,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230811
192,933000.CSI,沪深300(净)HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
193,950580.CSI,上证580,CSI,中证指数有限公司,规模指数,20181228,1000.0,20250616
194,950580CNY010.CSI,上证580全收益,CSI,中证指数有限公司,规模指数,20181228,1000.0,20250616
195,950580CNY020.CSI,上证580净收益,CSI,中证指数有限公司,规模指数,20181228,1000.0,20250616
196,h00009.SH,上证380全收益,SSE,中证指数有限公司,规模指数,20031231,1000.0,20101129
197,h00010.SH,180收益,SSE,中证指数有限公司,规模指数,20020628,3299.06,20020701
198,h00016.SH,50收益,SSE,中证指数有限公司,规模指数,20031231,1000.0,20040102
199,h00020.SH,中企收益,SSE,中证指数有限公司,规模指数,20071228,1000.0,20080512
200,h00043.SH,超大收,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090423
201,h00044.SH,上证中收,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
202,h00045.SH,上证小收,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
203,h00046.SH,上中小收,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
204,h00047.SH,上证全收,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
205,h00090.SH,上证流通全收益,SSE,中证指数有限公司,规模指数,20091231,1000.0,20101202
206,h00132.SH,上证100全收益,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120420
207,h00133.SH,上证150全收益,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120420
208,h00155.SH,上证市值百强全收益,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120720
209,h00300.CSI,300收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
210,h00852.SH,中证1000全收益,SSE,中证指数有限公司,规模指数,20041231,1000.0,20141017
211,h00903.CSI,A100收益,CSI,中证指数有限公司,规模指数,20051230,1000.0,20060529
212,h00904.CSI,200收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20070115
213,h00905.CSI,500收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20070115
214,h00906.CSI,800收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20070115
215,h00907.CSI,700收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20070115
216,h00980.CSI,中证超大全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110510
217,h00985.CSI,中证全指全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110802
218,h01100.CSI,香港100全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20080507
219,h01101.CSI,香港100人民币全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20080507
220,h01103.CSI,香港内地50人民币全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
221,h01105.CSI,非台海外全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
222,h01106.CSI,非台华股全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
223,h01108.CSI,两岸三地全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20100118
224,h01115.CSI,非台海外美元全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
225,h01116.CSI,非台华股美元全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
226,h01118.CSI,两岸三地(全)U$,CSI,中证指数有限公司,规模指数,20041231,1000.0,20100118
227,h01123.CSI,香港内地50全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
228,h01125.CSI,非台海外港元全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
229,h01126.CSI,非台华股港元全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
230,h01128.CSI,两岸三地(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20100118
231,h01134.CSI,中证中国东盟180(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20110812
232,h01135.CSI,中国东盟180(全)U$,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110812
233,h01138.CSI,两岸三地(全)TWD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20100118
234,h01164.CSI,中证香港300全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20120720
235,h01165.CSI,中证香港200全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20120720
236,h01166.CSI,中证HK300内地全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20121016
237,h01167.CSI,中证HK300本地全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20121016
238,h01168.CSI,中证香港300人民币全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20120720
239,h01169.CSI,中证香港200人民币全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20120720
240,h01170.CSI,中证HK300内地人民币全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20121016
241,h01171.CSI,中证HK300本地人民币全收益,CSI,中证指数有限公司,规模指数,20041231,1000.0,20121016
242,h01181.CSI,中证金砖国家全收益,CSI,中证指数有限公司,规模指数,20051230,1000.0,20121016
243,h01182.CSI,中证金砖USD全收益,CSI,中证指数有限公司,规模指数,20051230,1000.0,20121016
244,h01183.CSI,中证金砖(HK)全收益,CSI,中证指数有限公司,规模指数,20051230,1000.0,20121016
245,h01184.CSI,中证金砖(HK) U全收益,CSI,中证指数有限公司,规模指数,20051230,1000.0,20121016
246,h11100.CSI,香港100,CSI,中证指数有限公司,规模指数,20041231,1000.0,20080507
247,h11101.CSI,香港100人民币,CSI,中证指数有限公司,规模指数,20041231,1000.0,20080507
